"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.001","Agricultural Research_Basic and Applied Research","Department of Agriculture / Agricultural Research Service","B - PROJECT GRANTS","7/28/2010 7:41","1/1/1965 0:00"
"10.025","Plant and Animal Disease, Pest Control, and Animal Care","Department of Agriculture / Animal and Plant Health Inspection Service","B - PROJECT GRANTS","9/17/2010 9:12","1/1/1972 0:00"
"10.028","Wildlife Services","Department of Agriculture / Animal and Plant Health Inspection Service","B - PROJECT GRANTS","9/14/2010 14:42","1/1/1986 0:00"
"10.051","Commodity Loans and Loan Deficiency Payments","Department of Agriculture / Farm Service Agency","D - DIRECT PAYMENTS WITH UNRESTRICTED USE, E - DIRECT LOANS","8/30/2010 9:43","1/1/1965 0:00"
"10.053","Dairy Indemnity Program","Department of Agriculture / Farm Service Agency","D - DIRECT PAYMENTS WITH UNRESTRICTED USE","8/30/2010 9:47","1/1/1969 0:00"
"10.054","Emergency Conservation Program","Department of Agriculture / Farm Service Agency","C - DIRECT PAYMENTS FOR A SPECIFIED USE","8/30/2010 9:44","1/1/1970 0:00"
"10.055","Direct and Counter-cyclical Payments Program","Department of Agriculture / Farm Service Agency","C - DIRECT PAYMENTS FOR A SPECIFIED USE","8/30/2010 9:45","1/1/1970 0:00"
"10.056","Farm Storage Facility Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS","8/30/2010 9:45","1/1/1970 0:00"
"10.069","Conservation Reserve Program","Department of Agriculture / Farm Service Agency","C - DIRECT PAYMENTS FOR A SPECIFIED USE","8/30/2010 9:46","1/1/1986 0:00"
"10.072","Wetlands Reserve Program","Department of Agriculture / Natural Resources Conservation Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE","8/30/2010 9:46","1/1/1992 0:00"
"10.080","Milk Income Loss Contract Program","Department of Agriculture / Farm Service Agency","D - DIRECT PAYMENTS WITH UNRESTRICTED USE","11/5/2008 0:00","1/1/2004 0:00"
"10.085","Tobacco Transition Payment Program","Department of Agriculture / Farm Service Agency","D - DIRECT PAYMENTS WITH UNRESTRICTED USE","8/19/2010 13:57","1/1/2005 0:00"
"10.086","Aquaculture Grants Program (AGP)","Department of Agriculture / Farm Service Agency","A - Formula Grants","6/30/2009 13:06","6/30/2009 13:06"
"10.088","Livestock Indemnity Program","Department of Agriculture / Farm Service Agency","C - Direct Payments for Specified Use","8/3/2010 10:30","8/3/2010 10:30"
"10.090","Supplemental Revenue Assistance Program","Department of Agriculture / Farm Service Agency","C - Direct Payments for Specified Use","5/17/2010 13:08","5/17/2010 13:08"
"10.092","Tree Assistance Program","Department of Agriculture / Farm Service Agency","D - Direct Payments with Unrestricted Use","8/16/2010 9:10","8/16/2010 9:10"
"10.093","Voluntary Public Access and Habitat Incentive Program","Department of Agriculture / Farm Service Agency","A - Formula Grants","8/12/2010 7:31","8/12/2010 7:31"
"10.099","Conservation Loans","Department of Agriculture / Farm Service Agency","E - Direct Loans, F - Guaranteed/Insured Loans","9/8/2010 7:13","9/8/2010 7:13"
"10.153","Market News","Department of Agriculture / Agricultural Marketing Service","L - DISSEMINATION OF TECHNICAL INFORMATION","9/17/2010 7:34","1/1/1969 0:00"
"10.155","Marketing Agreements and Orders","Department of Agriculture / Agricultural Marketing Service","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING","9/17/2010 7:34","1/1/1969 0:00"
"10.156","Federal-State Marketing Improvement Program","Department of Agriculture / Agricultural Marketing Service","B - PROJECT GRANTS","9/17/2010 7:34","1/1/1969 0:00"
"10.162","Inspection Grading and Standardization","Department of Agriculture / Agricultural Marketing Service","J - PROVISION OF SPECIALIZED SERVICES","9/17/2010 7:34","1/1/1982 0:00"
"10.163","Market Protection and Promotion","Department of Agriculture / Agricultural Marketing Service","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, M - TRAINING","9/17/2010 7:35","1/1/1982 0:00"
